"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/08/2022";"0000";"25,4";"25,9";"24,8";"54,0";"59,0";"52,0";"15,3";"16,3";"15,2";"1008,6";"1008,8";"1008,6";"2,0";"313,0";"5,1";"";"0,0"
"05/08/2022";"0100";"25,4";"25,8";"25,1";"50,0";"54,0";"49,0";"14,2";"15,2";"14,1";"1008,5";"1008,7";"1008,5";"2,5";"343,0";"5,3";"";"0,0"
"05/08/2022";"0200";"24,3";"25,6";"23,1";"54,0";"58,0";"49,0";"14,5";"14,7";"14,1";"1008,5";"1008,7";"1008,5";"1,6";"330,0";"4,6";"";"0,0"
"05/08/2022";"0300";"25,3";"25,6";"23,8";"48,0";"55,0";"47,0";"13,6";"14,5";"13,5";"1008,2";"1008,6";"1008,2";"2,9";"316,0";"6,0";"";"0,0"
"05/08/2022";"0400";"24,9";"25,3";"24,7";"50,0";"50,0";"48,0";"13,8";"13,8";"13,6";"1007,8";"1008,3";"1007,8";"3,4";"318,0";"7,8";"";"0,0"
"05/08/2022";"0500";"23,7";"25,1";"23,7";"54,0";"55,0";"50,0";"14,0";"14,0";"13,8";"1007,1";"1007,8";"1007,1";"2,1";"321,0";"7,8";"";"0,0"
"05/08/2022";"0600";"24,0";"24,1";"23,6";"52,0";"55,0";"52,0";"13,5";"14,0";"13,5";"1007,0";"1007,2";"1007,0";"3,2";"311,0";"7,7";"";"0,0"
"05/08/2022";"0700";"23,7";"24,2";"23,6";"51,0";"52,0";"51,0";"13,1";"13,5";"13,1";"1006,7";"1007,1";"1006,7";"3,4";"316,0";"8,3";"";"0,0"
"05/08/2022";"0800";"23,6";"23,8";"23,4";"51,0";"52,0";"50,0";"12,7";"13,1";"12,7";"1006,8";"1006,8";"1006,6";"2,9";"317,0";"7,6";"";"0,0"
"05/08/2022";"0900";"23,2";"23,6";"23,1";"51,0";"52,0";"50,0";"12,5";"12,8";"12,5";"1007,2";"1007,2";"1006,8";"3,6";"324,0";"8,0";"";"0,0"
"05/08/2022";"1000";"23,1";"23,3";"23,0";"52,0";"52,0";"51,0";"12,7";"12,7";"12,4";"1007,7";"1007,7";"1007,1";"3,1";"315,0";"8,0";"35,90";"0,0"
"05/08/2022";"1100";"24,8";"24,8";"23,1";"47,0";"52,0";"47,0";"12,8";"13,0";"12,7";"1008,1";"1008,1";"1007,7";"2,7";"322,0";"7,8";"497,30";"0,0"
"05/08/2022";"1200";"26,8";"26,8";"24,8";"41,0";"47,0";"41,0";"12,4";"12,9";"12,2";"1008,4";"1008,4";"1008,0";"2,9";"323,0";"7,4";"1183,90";"0,0"
"05/08/2022";"1300";"28,9";"29,2";"26,7";"34,0";"41,0";"34,0";"11,4";"12,9";"11,2";"1008,3";"1008,4";"1008,2";"3,6";"323,0";"8,7";"1750,70";"0,0"
"05/08/2022";"1400";"31,9";"31,9";"28,9";"29,0";"34,0";"29,0";"11,6";"12,3";"11,1";"1007,5";"1008,3";"1007,5";"3,3";"308,0";"8,5";"2213,80";"0,0"
"05/08/2022";"1500";"34,0";"34,0";"31,7";"25,0";"29,0";"24,0";"10,9";"11,8";"10,3";"1006,7";"1007,5";"1006,7";"2,6";"310,0";"8,5";"2449,50";"0,0"
"05/08/2022";"1600";"34,6";"34,8";"33,3";"22,0";"25,0";"22,0";"10,1";"10,9";"9,2";"1006,1";"1006,7";"1006,0";"2,8";"298,0";"7,8";"2459,40";"0,0"
"05/08/2022";"1700";"28,2";"34,8";"28,2";"50,0";"50,0";"22,0";"16,7";"16,7";"9,8";"1007,3";"1007,4";"1005,9";"6,1";"204,0";"14,2";"2220,40";"0,0"
"05/08/2022";"1800";"25,9";"28,2";"25,5";"53,0";"53,0";"48,0";"15,6";"17,0";"14,3";"1008,1";"1008,1";"1007,3";"7,9";"187,0";"16,4";"1773,60";"0,0"
"05/08/2022";"1900";"24,3";"25,9";"24,3";"57,0";"57,0";"52,0";"15,2";"15,9";"14,6";"1009,0";"1009,0";"1008,2";"6,9";"193,0";"16,4";"1154,10";"0,0"
"05/08/2022";"2000";"23,0";"24,3";"23,0";"65,0";"65,0";"56,0";"16,1";"16,1";"14,8";"1010,2";"1010,2";"1009,0";"5,9";"187,0";"14,1";"368,30";"0,0"
"05/08/2022";"2100";"22,3";"23,0";"22,2";"72,0";"73,0";"65,0";"17,0";"17,1";"16,0";"1011,7";"1011,7";"1010,2";"4,2";"185,0";"11,9";"58,20";"0,0"
"05/08/2022";"2200";"22,2";"22,4";"22,2";"72,0";"72,0";"67,0";"16,8";"17,0";"15,9";"1012,8";"1012,8";"1011,7";"3,7";"181,0";"9,6";"";"0,0"
"05/08/2022";"2300";"21,9";"22,2";"21,9";"71,0";"74,0";"70,0";"16,3";"17,1";"16,2";"1013,8";"1013,8";"1012,8";"3,4";"179,0";"9,0";"";"0,0"
