Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%);Pressao Ins. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Chuva (mm);
05/08/2022;0000;27.9695;33.4726;1010.45;0;32.4843;0;
05/08/2022;0100;27.0641;36.789;1008.37;2.39824;11.9834;0;
05/08/2022;0200;27.3135;33.8141;1013.08;2.60694;2.02296;0;
05/08/2022;0300;26.7412;31.784;1009.03;2.81262;347.4;0;
05/08/2022;0400;26.246;30.4598;1006.59;2.89438;350.804;0;
05/08/2022;0500;26.1025;30.2941;1009.65;2.79162;352.36;0;
05/08/2022;0600;25.6803;31.049;1008.5;2.71827;359.901;0;
05/08/2022;0700;25.5297;31.4918;1008.93;2.78265;357.449;0;
05/08/2022;0800;25.5315;31.7297;1010.25;2.7726;357.427;0;
05/08/2022;0900;25.6877;31.6976;1012.67;2.82083;352.313;0;
05/08/2022;1000;25.7385;31.7581;1013.47;2.7526;353.18;0;
05/08/2022;1100;26.0345;31.2309;1013.19;2.53736;349.017;0;
05/08/2022;1200;27.6738;28.2343;1013.52;2.64601;329.514;0;
05/08/2022;1300;29.453;25.4528;1013.36;2.51575;321.282;0;
05/08/2022;1400;30.3422;24.9373;1012.34;2.04043;300.236;0;
05/08/2022;1500;30.0926;27.7979;1012.72;2.40684;248.571;0;
05/08/2022;1600;28.792;34.0287;1012.62;3.46201;205.547;0;
05/08/2022;1700;26.9323;42.6114;1012.71;4.07038;194.517;0;
05/08/2022;1800;25.0889;51.6369;1013.46;4.11457;192.354;0;
05/08/2022;1900;23.4284;59.8565;1014.02;3.79221;190.176;0;
05/08/2022;2000;22.0067;67.0405;1015.04;3.21803;185.383;0;
05/08/2022;2100;20.6403;75.4093;1016.23;2.48445;182.08;0;
05/08/2022;2200;19.6061;82.5599;1017.43;1.80227;179.749;0;
05/08/2022;2300;18.9464;86.767;1018.48;1.36357;182.911;1.77976e-08;
05/08/2022;2400;18.4954;88.7726;1019.14;1.08578;185.524;0.00037764;
